"genus","family","order","W","V","H","N","K","p"
"Aa","Orchidaceae","Asparagales",0,0,1,25,1,0
"Aaronsohnia","Asteraceae","Asterales",0,0,0,2,0,NA
"Abacopteris","Thelypteridaceae","Polypodiales",0,0,0,6,0,NA
"Abarema","Fabaceae","Fabales",8,0,0,53,8,1
"Abatia","Salicaceae","Malpighiales",8,0,0,10,8,1
"Abdominea","Orchidaceae","Asparagales",0,0,1,1,1,0
"Abelia","Caprifoliaceae","Dipsacales",6,0,0,29,6,1
"Abeliophyllum","Oleaceae","Lamiales",1,0,0,1,1,1
"Abelmoschus","Malvaceae","Malvales",1,0,3,10,4,0.25
"Abies","Pinaceae","Pinales",41,0,0,48,41,1
"Abobra","Cucurbitaceae","Cucurbitales",0,0,1,1,1,0
"Abolboda","Xyridaceae","Poales",0,0,1,22,1,0
"Abrahamia","Anacardiaceae","Sapindales",3,0,0,15,3,1
"Abrodictyum","Hymenophyllaceae","Hymenophyllales",0,0,0,10,0,NA
"Abroma","Malvaceae","Malvales",0,0,0,1,0,NA
"Abronia","Nyctaginaceae","Caryophyllales",0,0,2,30,2,0
"Abrophyllum","Rousseaceae","Asterales",1,0,0,2,1,1
"Abrotanella","Asteraceae","Asterales",0,1,1,20,1,0
"Abrus","Fabaceae","Fabales",1,0,0,19,1,1
"Absinthium","Asteraceae","Asterales",0,0,0,1,0,NA
"Absolmsia","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Abuta","Menispermaceae","Ranunculales",10,0,0,33,10,1
"Abutilon","Malvaceae","Malvales",8,0,2,216,10,0.8
"Acacia","Fabaceae","Fabales",437,0,1,1393,438,0.997716894977169
"Acaciella","Fabaceae","Fabales",0,0,0,23,0,NA
"Acaena","Rosaceae","Rosales",0,0,5,31,5,0
"Acalypha","Euphorbiaceae","Malpighiales",18,0,12,454,30,0.6
"Acampe","Orchidaceae","Asparagales",0,0,3,8,3,0
"Acamptopappus","Asteraceae","Asterales",1,0,0,2,1,1
"Acanthella","Melastomataceae","Myrtales",0,0,0,2,0,NA
"Acanthephippium","Orchidaceae","Asparagales",0,0,2,13,2,0
"Acanthocalycium","Cactaceae","Caryophyllales",0,0,0,2,0,NA
"Acanthocarpus","Asparagaceae","Asparagales",1,0,0,7,1,1
"Acanthocephalus","Asteraceae","Asterales",0,0,0,2,0,NA
"Acanthocereus","Cactaceae","Caryophyllales",0,0,0,5,0,NA
"Acanthochlamys","Velloziaceae","Pandanales",0,0,0,1,0,NA
"Acanthocladium","Asteraceae","Asterales",1,0,0,1,1,1
"Acanthocladus","Polygalaceae","Fabales",0,0,0,9,0,NA
"Acanthodesmos","Asteraceae","Asterales",0,0,0,1,0,NA
"Acanthogilia","Polemoniaceae","Ericales",1,0,0,1,1,1
"Acantholimon","Plumbaginaceae","Caryophyllales",0,0,0,295,0,NA
"Acantholippia","Verbenaceae","Lamiales",3,0,0,6,3,1
"Acanthomintha","Lamiaceae","Lamiales",0,0,0,4,0,NA
"Acanthonema","Gesneriaceae","Lamiales",0,0,0,2,0,NA
"Acanthopale","Acanthaceae","Lamiales",0,0,0,9,0,NA
"Acanthophoenix","Arecaceae","Arecales",1,0,0,3,1,1
"Acanthophyllum","Caryophyllaceae","Caryophyllales",0,0,0,59,0,NA
"Acanthoprasium","Lamiaceae","Lamiales",0,0,0,2,0,NA
"Acanthopsis","Acanthaceae","Lamiales",0,0,0,8,0,NA
"Acanthorrhinum","Plantaginaceae","Lamiales",0,0,0,2,0,NA
"Acanthoscyphus","Polygonaceae","Caryophyllales",0,0,0,1,0,NA
"Acanthosicyos","Cucurbitaceae","Cucurbitales",1,0,0,2,1,1
"Acanthospermum","Asteraceae","Asterales",0,0,1,6,1,0
"Acanthostachys","Bromeliaceae","Poales",0,0,1,2,1,0
"Acanthostyles","Asteraceae","Asterales",0,0,0,2,0,NA
"Acanthosyris","Santalaceae","Santalales",4,0,0,6,4,1
"Acanthothamnus","Celastraceae","Celastrales",0,0,0,1,0,NA
"Acanthura","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Acanthus","Acanthaceae","Lamiales",3,0,1,29,4,0.75
"Acareosperma","Vitaceae","Vitales",0,0,0,1,0,NA
"Acaulimalva","Malvaceae","Malvales",0,0,0,21,0,NA
"Acca","Myrtaceae","Myrtales",1,0,0,3,1,1
"Accara","Myrtaceae","Myrtales",0,0,0,1,0,NA
"Acentra","Violaceae","Malpighiales",0,0,0,1,0,NA
"Acer","Sapindaceae","Sapindales",66,0,0,164,66,1
"Aceratium","Elaeocarpaceae","Oxalidales",5,0,0,21,5,1
"Acharia","Achariaceae","Malpighiales",0,1,0,1,0,NA
"Achatocarpus","Achatocarpaceae","Caryophyllales",3,0,0,10,3,1
"Achetaria","Plantaginaceae","Lamiales",0,0,0,10,0,NA
"Achillea","Asteraceae","Asterales",0,0,9,151,9,0
"Achimenantha","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Achimenes","Gesneriaceae","Lamiales",0,0,2,26,2,0
"Achlyphila","Xyridaceae","Poales",0,0,0,1,0,NA
"Achlys","Berberidaceae","Ranunculales",0,0,1,2,1,0
"Achnatherum","Poaceae","Poales",0,0,0,1,0,NA
"Achnophora","Asteraceae","Asterales",0,0,0,1,0,NA
"Achnopogon","Asteraceae","Asterales",0,0,0,2,0,NA
"Achuaria","Rutaceae","Sapindales",0,0,0,1,0,NA
"Achudemia","Urticaceae","Rosales",0,0,0,3,0,NA
"Achyrachaena","Asteraceae","Asterales",0,0,0,1,0,NA
"Achyranthes","Amaranthaceae","Caryophyllales",0,0,2,12,2,0
"Achyrocalyx","Acanthaceae","Lamiales",0,0,0,4,0,NA
"Achyrocline","Asteraceae","Asterales",0,0,0,45,0,NA
"Achyronia","Fabaceae","Fabales",0,0,0,136,0,NA
"Achyronychia","Caryophyllaceae","Caryophyllales",0,0,0,1,0,NA
"Achyropappus","Asteraceae","Asterales",0,0,0,1,0,NA
"Achyrophorus","Asteraceae","Asterales",0,0,0,4,0,NA
"Achyropsis","Amaranthaceae","Caryophyllales",0,0,1,6,1,0
"Achyrospermum","Lamiaceae","Lamiales",2,0,1,25,3,0.666666666666667
"Aciachne","Poaceae","Poales",0,0,0,3,0,NA
"Acianthera","Orchidaceae","Asparagales",0,0,4,221,4,0
"Acianthus","Orchidaceae","Asparagales",0,0,4,20,4,0
"Acicarpha","Calyceraceae","Asterales",0,0,1,5,1,0
"Acidanthera","Iridaceae","Asparagales",0,0,0,1,0,NA
"Acidocroton","Euphorbiaceae","Malpighiales",1,0,0,11,1,1
"Acidonia","Proteaceae","Proteales",1,0,0,1,1,1
"Acidosasa","Poaceae","Poales",0,0,0,11,0,NA
"Acidoton","Euphorbiaceae","Malpighiales",2,0,0,6,2,1
"Acilepidopsis","Asteraceae","Asterales",0,0,0,1,0,NA
"Acilepis","Asteraceae","Asterales",0,0,0,32,0,NA
"Acineta","Orchidaceae","Asparagales",0,0,2,17,2,0
"Acinodendron","Melastomataceae","Myrtales",2,0,0,491,2,1
"Acinos","Lamiaceae","Lamiales",1,0,0,1,1,1
"Acioa","Chrysobalanaceae","Malpighiales",2,0,0,4,2,1
"Aciotis","Melastomataceae","Myrtales",0,0,0,16,0,NA
"Aciphylla","Apiaceae","Apiales",0,0,1,45,1,0
"Acis","Amaryllidaceae","Asparagales",0,0,4,9,4,0
"Acisanthera","Melastomataceae","Myrtales",0,0,0,21,0,NA
"Acleisanthes","Nyctaginaceae","Caryophyllales",0,2,0,17,0,NA
"Acmadenia","Rutaceae","Sapindales",1,0,0,33,1,1
"Acmanthera","Malpighiaceae","Malpighiales",1,0,0,7,1,1
"Acmella","Asteraceae","Asterales",0,0,1,31,1,0
"Acmispon","Fabaceae","Fabales",0,0,1,33,1,0
"Acmopyle","Podocarpaceae","Araucariales",2,0,0,2,2,1
"Acnida","Amaranthaceae","Caryophyllales",0,0,0,1,0,NA
"Acnistus","Solanaceae","Solanales",0,0,0,1,0,NA
"Acoelorrhaphe","Arecaceae","Arecales",1,0,0,1,1,1
"Acokanthera","Apocynaceae","Gentianales",4,0,0,5,4,1
"Acome","Capparaceae","Brassicales",0,0,0,1,0,NA
"Acomis","Asteraceae","Asterales",0,0,0,4,0,NA
"Aconitum","Ranunculaceae","Ranunculales",0,0,8,337,8,0
"Aconogonum","Polygonaceae","Caryophyllales",0,0,0,3,0,NA
"Acorus","Acoraceae","Acorales",0,0,2,2,2,0
"Acosmium","Fabaceae","Fabales",4,0,0,18,4,1
"Acostia","Poaceae","Poales",0,0,0,1,0,NA
"Acourtia","Asteraceae","Asterales",0,0,0,84,0,NA
"Acrachne","Poaceae","Poales",0,0,0,3,0,NA
"Acradenia","Rutaceae","Sapindales",2,0,0,2,2,1
"Acranthera","Rubiaceae","Gentianales",0,0,0,38,0,NA
"Acridocarpus","Malpighiaceae","Malpighiales",6,0,0,43,6,1
"Acriopsis","Orchidaceae","Asparagales",0,0,0,9,0,NA
"Acrisione","Asteraceae","Asterales",1,0,0,1,1,1
"Acritochaete","Poaceae","Poales",0,0,0,1,0,NA
"Acritopappus","Asteraceae","Asterales",0,0,0,17,0,NA
"Acrobotrys","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Acrocarpus","Fabaceae","Fabales",1,0,0,1,1,1
"Acroceras","Poaceae","Poales",0,0,2,24,2,0
"Acrochaene","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Acrocomia","Arecaceae","Arecales",3,0,0,8,3,1
"Acrodon","Aizoaceae","Caryophyllales",0,0,0,8,0,NA
"Acroglochin","Amaranthaceae","Caryophyllales",0,0,0,2,0,NA
"Acrolophia","Orchidaceae","Asparagales",0,0,0,7,0,NA
"Acronema","Apiaceae","Apiales",0,0,0,38,0,NA
"Acronychia","Rutaceae","Sapindales",15,0,0,51,15,1
"Acropelta","Dryopteridaceae","Polypodiales",0,0,0,1,0,NA
"Acrophorus","Dryopteridaceae","Polypodiales",0,0,0,7,0,NA
"Acrophyllum","Cunoniaceae","Oxalidales",2,0,0,2,2,1
"Acropogon","Malvaceae","Malvales",1,0,0,24,1,1
"Acropteris","Pteridaceae","Polypodiales",0,0,0,1,0,NA
"Acrorchis","Orchidaceae","Asparagales",0,0,1,1,1,0
"Acrorumohra","Dryopteridaceae","Polypodiales",0,0,0,6,0,NA
"Acrosanthes","Aizoaceae","Caryophyllales",1,0,0,6,1,1
"Acrosorus","Polypodiaceae","Polypodiales",0,0,0,1,0,NA
"Acrostemon","Ericaceae","Ericales",0,0,0,11,0,NA
"Acrostichum","Pteridaceae","Polypodiales",0,0,15,20,15,0
"Acrosynanthus","Rubiaceae","Gentianales",0,0,0,7,0,NA
"Acrotome","Lamiaceae","Lamiales",0,0,0,8,0,NA
"Acrotrema","Dilleniaceae","Dilleniales",0,0,0,10,0,NA
"Acrotriche","Ericaceae","Ericales",3,0,0,18,3,1
"Acrymia","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Acsmithia","Cunoniaceae","Oxalidales",3,0,0,16,3,1
"Actaea","Ranunculaceae","Ranunculales",0,0,6,30,6,0
"Actephila","Phyllanthaceae","Malpighiales",3,0,0,30,3,1
"Actinanthella","Loranthaceae","Santalales",0,0,0,2,0,NA
"Actinanthus","Apiaceae","Apiales",0,0,0,1,0,NA
"Actinea","Asteraceae","Asterales",0,0,0,1,0,NA
"Actinella","Asteraceae","Asterales",0,0,0,2,0,NA
"Actinidia","Actinidiaceae","Ericales",30,0,0,75,30,1
"Actiniopteris","Pteridaceae","Polypodiales",0,0,2,5,2,0
"Actinobole","Asteraceae","Asterales",0,0,1,4,1,0
"Actinocarya","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,2,0,NA
"Actinocephalus","Eriocaulaceae","Poales",0,0,0,32,0,NA
"Actinocheita","Anacardiaceae","Sapindales",1,0,0,1,1,1
"Actinocladum","Poaceae","Poales",0,0,0,1,0,NA
"Actinodaphne","Lauraceae","Laurales",18,0,0,137,18,1
"Actinodium","Myrtaceae","Myrtales",1,0,0,1,1,1
"Actinokentia","Arecaceae","Arecales",1,0,0,2,1,1
"Actinolema","Apiaceae","Apiales",0,0,0,2,0,NA
"Actinorhytis","Arecaceae","Arecales",1,0,0,1,1,1
"Actinoschoenus","Cyperaceae","Poales",0,0,0,3,0,NA
"Actinoscirpus","Cyperaceae","Poales",0,0,1,1,1,0
"Actinoseris","Asteraceae","Asterales",0,0,0,1,0,NA
"Actinospermum","Asteraceae","Asterales",0,0,0,1,0,NA
"Actinostachys","Schizaeaceae","Schizaeales",0,0,0,6,0,NA
"Actinostemma","Cucurbitaceae","Cucurbitales",0,0,1,3,1,0
"Actinostemon","Euphorbiaceae","Malpighiales",4,0,0,20,4,1
"Actinostrobus","Cupressaceae","Cupressales",1,0,0,3,1,1
"Actinotus","Apiaceae","Apiales",0,0,2,19,2,0
"Acuania","Fabaceae","Fabales",0,0,0,1,0,NA
"Acunaeanthus","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Acystopteris","Cystopteridaceae","Polypodiales",0,0,0,3,0,NA
"Ada","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Adamantinia","Orchidaceae","Asparagales",0,0,0,1,0,NA
